Country,Store ID,Product Category,Product ID,Inflation Rate,GDP Growth Rate,Date of Sale,Price Sold,Units Sold,Year-Month
France,7,Mens,1,10.6,3.12,2023-01-01,34.5,13,2023-01
France,8,Mens,1,10.6,3.12,2023-01-01,34.5,29,2023-01
France,9,Mens,1,10.6,3.12,2023-01-01,34.5,23,2023-01
France,7,Mens,1,10.6,3.12,2023-01-02,34.5,12,2023-01
France,8,Mens,1,10.6,3.12,2023-01-02,34.5,30,2023-01
France,9,Mens,1,10.6,3.12,2023-01-02,34.5,31,2023-01
France,7,Mens,1,10.6,3.12,2023-01-03,34.5,13,2023-01
France,8,Mens,1,10.6,3.12,2023-01-03,34.5,34,2023-01
France,9,Mens,1,10.6,3.12,2023-01-03,34.5,32,2023-01
France,7,Mens,1,10.6,3.12,2023-01-04,34.5,17,2023-01
France,8,Mens,1,10.6,3.12,2023-01-04,34.5,36,2023-01
France,9,Mens,1,10.6,3.12,2023-01-04,34.5,33,2023-01
France,7,Mens,1,10.6,3.12,2023-01-05,34.5,18,2023-01
France,8,Mens,1,10.6,3.12,2023-01-05,34.5,40,2023-01
France,9,Mens,1,10.6,3.12,2023-01-05,34.5,42,2023-01
France,7,Mens,1,10.6,3.12,2023-01-06,34.5,17,2023-01
France,8,Mens,1,10.6,3.12,2023-01-06,34.5,49,2023-01
France,9,Mens,1,10.6,3.12,2023-01-06,34.5,45,2023-01
France,7,Mens,1,10.6,3.12,2023-01-07,34.5,15,2023-01
France,8,Mens,1,10.6,3.12,2023-01-07,34.5,53,2023-01
France,9,Mens,1,10.6,3.12,2023-01-07,34.5,50,2023-01
France,7,Mens,1,10.6,3.12,2023-01-08,34.5,22,2023-01
France,8,Mens,1,10.6,3.12,2023-01-08,34.5,62,2023-01
France,9,Mens,1,10.6,3.12,2023-01-08,34.5,55,2023-01
France,7,Mens,1,10.6,3.12,2023-01-09,34.5,23,2023-01
France,8,Mens,1,10.6,3.12,2023-01-09,34.5,63,2023-01
France,9,Mens,1,10.6,3.12,2023-01-09,34.5,60,2023-01
France,7,Mens,1,10.6,3.12,2023-01-10,34.5,24,2023-01
France,8,Mens,1,10.6,3.12,2023-01-10,34.5,70,2023-01
France,9,Mens,1,10.6,3.12,2023-01-10,34.5,66,2023-01
France,7,Mens,1,10.6,3.12,2023-01-11,34.5,30,2023-01
France,8,Mens,1,10.6,3.12,2023-01-11,34.5,79,2023-01
France,9,Mens,1,10.6,3.12,2023-01-11,34.5,74,2023-01
France,7,Mens,1,10.6,3.12,2023-01-12,34.5,30,2023-01
France,8,Mens,1,10.6,3.12,2023-01-12,34.5,85,2023-01
France,9,Mens,1,10.6,3.12,2023-01-12,34.5,77,2023-01
France,7,Mens,1,10.6,3.12,2023-01-13,34.5,32,2023-01
France,8,Mens,1,10.6,3.12,2023-01-13,34.5,97,2023-01
France,9,Mens,1,10.6,3.12,2023-01-13,34.5,87,2023-01
France,7,Mens,1,10.6,3.12,2023-01-14,34.5,34,2023-01
France,8,Mens,1,10.6,3.12,2023-01-14,34.5,109,2023-01
France,9,Mens,1,10.6,3.12,2023-01-14,34.5,98,2023-01
France,7,Mens,1,10.6,3.12,2023-01-15,34.5,38,2023-01
France,8,Mens,1,10.6,3.12,2023-01-15,34.5,122,2023-01
France,9,Mens,1,10.6,3.12,2023-01-15,34.5,109,2023-01
France,7,Mens,1,10.6,3.12,2023-01-16,34.5,45,2023-01
France,8,Mens,1,10.6,3.12,2023-01-16,34.5,129,2023-01
France,9,Mens,1,10.6,3.12,2023-01-16,34.5,118,2023-01
France,7,Mens,1,10.6,3.12,2023-01-17,34.5,48,2023-01
France,8,Mens,1,10.6,3.12,2023-01-17,34.5,145,2023-01
France,9,Mens,1,10.6,3.12,2023-01-17,34.5,127,2023-01
France,7,Mens,1,10.6,3.12,2023-01-18,34.5,52,2023-01
France,8,Mens,1,10.6,3.12,2023-01-18,34.5,158,2023-01
France,9,Mens,1,10.6,3.12,2023-01-18,34.5,141,2023-01
France,7,Mens,1,10.6,3.12,2023-01-19,34.5,63,2023-01
France,8,Mens,1,10.6,3.12,2023-01-19,34.5,179,2023-01
France,9,Mens,1,10.6,3.12,2023-01-19,34.5,162,2023-01
France,7,Mens,1,10.6,3.12,2023-01-20,34.5,69,2023-01
France,8,Mens,1,10.6,3.12,2023-01-20,34.5,199,2023-01
France,9,Mens,1,10.6,3.12,2023-01-20,34.5,174,2023-01
France,7,Mens,1,10.6,3.12,2023-01-21,34.5,77,2023-01
France,8,Mens,1,10.6,3.12,2023-01-21,34.5,215,2023-01
France,9,Mens,1,10.6,3.12,2023-01-21,34.5,193,2023-01
France,7,Mens,1,10.6,3.12,2023-01-22,34.5,81,2023-01
France,8,Mens,1,10.6,3.12,2023-01-22,34.5,240,2023-01
France,9,Mens,1,10.6,3.12,2023-01-22,34.5,217,2023-01
France,7,Mens,1,10.6,3.12,2023-01-23,34.5,94,2023-01
France,8,Mens,1,10.6,3.12,2023-01-23,34.5,265,2023-01
France,9,Mens,1,10.6,3.12,2023-01-23,34.5,237,2023-01
France,7,Mens,1,10.6,3.12,2023-01-24,34.5,100,2023-01
France,8,Mens,1,10.6,3.12,2023-01-24,34.5,294,2023-01
France,9,Mens,1,10.6,3.12,2023-01-24,34.5,267,2023-01
France,7,Mens,1,10.6,3.12,2023-01-25,34.5,115,2023-01
France,8,Mens,1,10.6,3.12,2023-01-25,34.5,328,2023-01
France,9,Mens,1,10.6,3.12,2023-01-25,34.5,292,2023-01
France,7,Mens,1,10.6,3.12,2023-01-26,34.5,127,2023-01
France,8,Mens,1,10.6,3.12,2023-01-26,34.5,363,2023-01
France,9,Mens,1,10.6,3.12,2023-01-26,34.5,325,2023-01
France,7,Mens,1,10.6,3.12,2023-01-27,34.5,138,2023-01
France,8,Mens,1,10.6,3.12,2023-01-27,34.5,395,2023-01
France,9,Mens,1,10.6,3.12,2023-01-27,34.5,357,2023-01
France,7,Mens,1,10.6,3.12,2023-01-28,34.5,150,2023-01
France,8,Mens,1,10.6,3.12,2023-01-28,34.5,437,2023-01
France,9,Mens,1,10.6,3.12,2023-01-28,34.5,398,2023-01
France,7,Mens,1,10.6,3.12,2023-01-29,34.5,168,2023-01
France,8,Mens,1,10.6,3.12,2023-01-29,34.5,485,2023-01
France,9,Mens,1,10.6,3.12,2023-01-29,34.5,438,2023-01
France,7,Mens,1,10.6,3.12,2023-01-30,34.5,183,2023-01
France,8,Mens,1,10.6,3.12,2023-01-30,34.5,540,2023-01
France,9,Mens,1,10.6,3.12,2023-01-30,34.5,482,2023-01
France,7,Mens,1,10.6,3.12,2023-01-31,34.5,206,2023-01
France,8,Mens,1,10.6,3.12,2023-01-31,34.5,598,2023-01
France,9,Mens,1,10.6,3.12,2023-01-31,34.5,537,2023-01
France,7,Mens,1,-0.08,3.35,2023-02-01,34.5,14,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-01,34.5,31,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-01,34.5,20,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-02,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-02,34.5,30,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-02,34.5,24,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-03,34.5,18,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-03,34.5,27,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-03,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-04,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-04,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-04,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-05,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-05,34.5,27,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-05,34.5,19,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-06,34.5,19,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-06,34.5,31,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-06,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-07,34.5,17,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-07,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-07,34.5,24,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-08,34.5,19,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-08,34.5,32,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-08,34.5,20,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-09,34.5,15,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-09,34.5,32,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-09,34.5,24,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-10,34.5,19,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-10,34.5,30,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-10,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-11,34.5,15,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-11,34.5,27,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-11,34.5,20,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-12,34.5,17,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-12,34.5,26,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-12,34.5,22,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-13,34.5,19,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-13,34.5,31,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-13,34.5,19,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-14,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-14,34.5,30,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-14,34.5,21,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-15,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-15,34.5,26,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-15,34.5,20,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-16,34.5,16,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-16,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-16,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-17,34.5,18,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-17,34.5,32,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-17,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-18,34.5,14,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-18,34.5,28,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-18,34.5,22,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-19,34.5,14,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-19,34.5,28,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-19,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-20,34.5,15,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-20,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-20,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-21,34.5,17,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-21,34.5,28,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-21,34.5,22,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-22,34.5,13,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-22,34.5,31,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-22,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-23,34.5,19,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-23,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-23,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-24,34.5,18,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-24,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-24,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-25,34.5,14,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-25,34.5,30,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-25,34.5,18,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-26,34.5,17,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-26,34.5,26,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-26,34.5,23,2023-02
France,7,Mens,1,-0.08,3.35,2023-02-27,34.5,17,2023-02
France,8,Mens,1,-0.08,3.35,2023-02-27,34.5,29,2023-02
France,9,Mens,1,-0.08,3.35,2023-02-27,34.5,18,2023-02
